full_name,age,birthday,league,season,position,club_name,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
David de Gea,29,657964800,Premier League,2018/2019,Goalkeeper,Manchester United,3420,1710,1710,Spain,38,19,19,0,0,0,0,0,0,0,0,7,2,5,51,23,28,1,0,0,0,0,0,0,0,1.34,67,90,3420,0,0.03,310,419,90,18
Matteo Darmian,30,628588800,Premier League,2018/2019,Defender,Manchester United,443,353,90,Italy,6,4,1,0,0,0,0,0,0,0,0,1,1,0,7,4,3,0,0,0,0,0,0,0,0,1.42,63,74,0,0,0,411,366,102,25
Victor Nilsson Lindelöf,25,774428400,Premier League,2018/2019,Defender,Manchester United,2602,1112,1490,Sweden,30,12,17,1,1,0,1,0,1,0,0,6,2,4,38,13,25,1,0,0.07,0.03,0.03,0.08,0,2602,1.31,68,87,2602,2602,0.03,263,249,88,14
Luke Shaw,24,805532400,Premier League,2018/2019,Defender,Manchester United,2592,1170,1422,England,29,13,16,1,1,0,4,2,2,0,0,6,1,5,36,16,20,11,0,0.17,0.14,0.03,0.08,0,2592,1.25,72,89,236,648,0.38,262,104,79,13
Eric Bertrand Bailly,26,766134000,Premier League,2018/2019,Defender,Manchester United,637,349,288,Côte d'Ivoire,12,5,3,0,0,0,0,0,0,0,0,3,0,3,12,6,6,1,1,0,0,0,0,0,0,1.7,53,53,319,0,0.28,340,271,142,26
Juan Mata,31,578214000,Premier League,2018/2019,Midfielder,Manchester United,1294,833,461,Spain,22,10,6,3,3,0,2,2,0,0,0,4,2,2,14,6,8,3,0,0.35,0.14,0.21,0.32,0,431,0.97,92,59,431,647,0.21,91,100,-1,6
Paul Pogba,27,732182400,Premier League,2018/2019,Midfielder,Manchester United,3011,1517,1494,France,35,17,17,13,10,3,9,4,5,7,3,7,2,5,41,20,21,6,0,0.66,0.27,0.39,0.59,0.18,232,1.23,73,86,502,335,0.18,35,30,-1,1
Frederico Rodrigues Santos,27,731318400,Premier League,2018/2019,Midfielder,Manchester United,1045,577,468,Brazil,17,7,6,1,1,0,1,0,1,0,0,0,0,0,19,8,11,2,0,0.17,0.09,0.09,0.16,0,1045,1.64,55,61,523,1045,0.17,169,163,-1,12
Andreas Pereira,24,820483200,Premier League,2018/2019,Midfielder,Manchester United,595,521,74,Brazil,15,5,1,1,1,0,1,1,0,0,0,1,1,0,10,7,3,5,0,0.3,0.15,0.15,0.17,0,595,1.51,60,40,119,595,0.76,120,91,-1,16
Alexis Sanchez,31,598521600,Premier League,2018/2019,Forward,Manchester United,877,387,490,Chile,20,3,6,1,1,0,3,0,3,0,0,6,2,4,8,4,4,3,0,0.41,0.31,0.1,0.23,0,877,0.82,110,44,292,292,0.31,157,17,-1,10
Marcus Rashford,22,878284800,Premier League,2018/2019,Forward,Manchester United,2362,1293,1069,England,33,15,11,10,4,6,6,3,3,0,0,6,2,4,34,17,17,4,1,0.61,0.23,0.38,0.28,0.51,236,1.3,69,72,472,394,0.19,40,49,-1,3
Romelu Lukaku,26,737276400,Premier League,2018/2019,Forward,Manchester United,2130,982,1148,Belgium,32,10,12,12,4,8,0,0,0,0,0,7,2,5,36,14,22,4,0,0.51,0,0.51,0.37,0.63,178,1.52,59,67,533,0,0.17,16,280,-1,2
Scott McTominay,23,850032000,Premier League,2018/2019,Midfielder,Manchester United,861,345,516,England,16,4,5,2,0,2,0,0,0,0,0,3,1,2,17,6,11,1,0,0.21,0,0.21,0,0.35,431,1.78,51,54,861,0,0.1,92,281,-1,8
